[Mon, 08 Feb 2016 08:55:51 GMT] 127.0.0.1 404 GET /sdaia-api/users (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Mon, 08 Feb 2016 08:55:53 GMT] 127.0.0.1 404 GET /sdaia-api/users (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Wed, 10 Feb 2016 13:52:25 GMT] 127.0.0.1 200 GET / (w#1) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Wed, 10 Feb 2016 13:52:40 GMT] 127.0.0.1 200 GET /sdaia-api (w#1) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Wed, 10 Feb 2016 13:52:56 GMT] 127.0.0.1 404 GET /sdaia-api/users (w#1) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 10:53:22 GMT] 127.0.0.1 404 GET /sdaia-api/users (w#1) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 10:53:24 GMT] 127.0.0.1 404 GET /sdaia-api/users (w#1) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 10:53:27 GMT] 127.0.0.1 404 GET /sdaia-api/users (w#1) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 10:53:43 GMT] 127.0.0.1 200 GET / (w#1) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 10:53:50 GMT] 127.0.0.1 200 GET /sdaia-api (w#1) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 10:55:20 GMT] 127.0.0.1 200 GET /sdaia-api (w#1) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Thu, 11 Feb 2016 11:00:11 GMT] 127.0.0.1 200 GET /sdaia-api (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Tue, 16 Feb 2016 07:01:16 GMT] 127.0.0.1 200 GET /sdaia-api (w#1) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Tue, 16 Feb 2016 07:03:25 GMT] 127.0.0.1 200 GET /sdaia-api (w#3) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Tue, 16 Feb 2016 08:39:29 GMT] 127.0.0.1 200 GET /sdaia-api (w#1) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Tue, 16 Feb 2016 08:40:47 GMT] 127.0.0.1 200 GET /sdaia-api (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
[Tue, 16 Feb 2016 08:48:29 GMT] 127.0.0.1 200 GET /sdaia-api (w#1) (1ms) (none) (Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0 Iceweasel/45.0a2)
